sample	genus_species	type	dbh(cm)	height(m)	total_root_fresh_mass(g)	root_tips_fresh_mass(g)	remaining_root_fresh_mass(g)	remaining_root_dry_mass(g)	root_tips_dry_mass(g)	total_root_dry_mass(g)	root_tip_mass_fraction(%)	root_dry_matter_content(mg/g)	root_water_content(%)	root_length(cm)	specific_root_length(cm/g)	root_area(cm²)	specifc_root_area(cm²/g)	root_avg_diam(mm)	root_len_per_vol(cm/m³)	root_volume(cm³)	root_tissue_density(g/cm³)	n_root_tips	branchiness(tips/length)	tip_abundance(tips/g)	n_forks	n_crossings
26	Garcinia cowa	AM	2.35	3.35	404.00	0.15	0.26	0.08	0.04	0.12	39.11	287.33	71.27	115.10	1170.78	21.90	214.29	0.63	115.10	341.00	0.33	151.33	1.27	1590.43	272.50	17.67
27	Garcinia xanthochymus	AM	3.40	4.00	1.19	0.40	0.79	302.00	0.11	0.42	31.23	336.94	66.31	197.60	563.56	47.23	131.46	0.75	197.60	901.00	0.44	359.33	1.87	1109.78	430.67	21.33
28	Gironniera subaequalis	AM	3.00	3.75	0.44	0.15	292.00	0.08	0.04	0.13	34.18	284.32	71.57	223.42	1842.31	31.24	258.46	0.48	223.42	0.36	0.34	515.00	2.27	4387.45	813.50	67.17
29	Glochidion lanceolarium	AM	8.70	9.00	0.91	0.23	0.68	0.16	0.07	0.23	29.93	251.06	74.89	191.16	931.88	39.76	189.26	0.66	191.16	0.66	0.33	528.00	2.74	2492.77	1007.67	49.67
30	Goniothalamus griffithii	AM	3.02	3.54	1.03	0.38	0.64	0.16	0.11	0.27	39.21	254.75	74.53	72.10	282.05	26.72	104.52	1.36	72.10	837.00	0.33	160.27	2.24	656.92	82.53	1.60
31	Harpullia cupanioides	AM	3.80	5.00	0.29	0.09	203.00	0.08	0.03	0.11	22.78	370.51	62.95	71.93	786.94	15.18	157.92	0.67	71.93	0.26	0.41	197.00	2.69	2237.35	217.33	3.00
32	Horsfieldia amygdalina	AM	4275.00	5225.00	2.02	0.81	1.22	0.29	0.23	0.52	41.13	256.50	74.35	67.07	123.99	38.43	73.04	1.93	67.07	1.77	0.29	118.75	1.76	213.78	44.75	0.25
33	Horsfieldia kingii	AM	5.60	5.70	2.82	1.11	1.71	0.34	0.32	0.66	49.54	230.37	76.96	103143.00	163.06	59.00	92.58	1.81	103143.00	2688.00	0.24	168.00	1.62	267.44	54.67	1.00
34	Knema tenuinervia	AM	2.60	3.30	1.16	0.53	0.62	0.19	0.15	0.34	45.88	291.58	70.84	66.00	199.55	29.08	87.67	1.41	66.00	1021.00	0.33	94.67	1.40	296.39	36.00	0.67
35	Lepisanthes senegalensis	AM	2.50	4.00	0.71	0.25	0.46	0.18	0.07	0.26	31.62	350.00	65.00	163.71	767.84	34.81	158.26	0.68	163.71	0.59	0.42	495.33	3.01	2339.62	601.67	16.67
