Common_Name,Genus,Species,Scientific_Name,Count,Location,Date,Time
Red-winged Blackbird,Agelaius,phoeniceus,Agelaius phoeniceus,15,Riverlands Migratory Bird Sanctuary,12/27/2024,1:30 PM
Red-winged Blackbird,Agelaius,phoeniceus,Agelaius phoeniceus,15,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Red-winged Blackbird,Agelaius,phoeniceus,Agelaius phoeniceus,14,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Red-winged Blackbird,Agelaius,phoeniceus,Agelaius phoeniceus,X,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Bronzed Cowbird,Molothrus,aeneus,Molothrus aeneus,3,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Bronzed Cowbird,Molothrus,aeneus,Molothrus aeneus,12,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Brown-headed Cowbird,Molothrus,ater,Molothrus ater,3,Duke University--Reclamation Pond,4/24/2024,8:06 AM
Brown-headed Cowbird,Molothrus,ater,Molothrus ater,5,Duke University--Reclamation Pond,5/21/2024,8:04 AM
Brown-headed Cowbird,Molothrus,ater,Molothrus ater,2,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Brown-headed Cowbird,Molothrus,ater,Molothrus ater,50,Little Creve Coeur Ecological Area,12/26/2023,9:37 AM
Brown-headed Cowbird,Molothrus,ater,Molothrus ater,5,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Common Grackle,Quiscalus,quiscula,Quiscalus quiscula,X,Durham,2/12/2024,
Common Grackle,Quiscalus,quiscula,Quiscalus quiscula,2,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Common Grackle,Quiscalus,quiscula,Quiscalus quiscula,2,Sandy Creek Park,6/1/2024,8:08 AM
Common Grackle,Quiscalus,quiscula,Quiscalus quiscula,6,"101 Carolina Beach Avenue North, Carolina Beach, North Carolina, US (34.032, -77.892)",9/21/2024,3:20 PM
Boat-tailed Grackle,Quiscalus,major,Quiscalus major,15,Fort Macon SP--Beach,4/13/2025,11:22 AM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,14,Cameron Co.--TX100--Aplomado Viewing Area,4/28/2025,8:58 AM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,8,Cameron Co.--TX100--Aplomado Viewing Area,4/28/2025,5:51 PM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,25,South Padre Is.--Birding and Nature Center,4/28/2025,9:51 AM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,11,South Padre Is.--County Park mudflats N. of Conv Ctr.,4/28/2025,11:56 AM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,20,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,20,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,5,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,10,Falcon State Park--Butterfly Garden (Starr Co.),4/26/2025,4:39 PM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,40,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Great-tailed Grackle,Quiscalus,mexicanus,Quiscalus mexicanus,1,Starr County Park (Falcon Heights)(LTC 082),4/26/2025,2:46 PM
Ovenbird,Seiurus,aurocapilla,Seiurus aurocapilla,1,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Ovenbird,Seiurus,aurocapilla,Seiurus aurocapilla,1,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Black-and-white Warbler,Mniotilta,varia,Mniotilta varia,1,Duke University--Reclamation Pond,4/24/2024,8:06 AM
Black-and-white Warbler,Mniotilta,varia,Mniotilta varia,1,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Black-and-white Warbler,Mniotilta,varia,Mniotilta varia,1,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Black-and-white Warbler,Mniotilta,varia,Mniotilta varia,1,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Black-and-white Warbler,Mniotilta,varia,Mniotilta varia,1,Weymouth Woods Sandhills Nature Preserve,4/19/2025,6:48 AM
Black-and-white Warbler,Mniotilta,varia,Mniotilta varia,3,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Tennessee Warbler,Leiothlypis,peregrina,Leiothlypis peregrina,2,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Tennessee Warbler,Leiothlypis,peregrina,Leiothlypis peregrina,3,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Tennessee Warbler,Leiothlypis,peregrina,Leiothlypis peregrina,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Orange-crowned Warbler,Leiothlypis,celata,Leiothlypis celata,1,England Parkway Pond,12/22/2024,2:21 PM
Nashville Warbler,Leiothlypis,ruficapilla,Leiothlypis ruficapilla,1,Estero Llano Grande SP--Tropical Zone only,4/27/2025,12:52 PM
Nashville Warbler,Leiothlypis,ruficapilla,Leiothlypis ruficapilla,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Common Yellowthroat,Geothlypis,trichas,Geothlypis trichas,1,Duke University--Chapel Woods,4/24/2024,7:19 AM
Common Yellowthroat,Geothlypis,trichas,Geothlypis trichas,1,Duke University--Reclamation Pond,9/26/2023,9:35 AM
Common Yellowthroat,Geothlypis,trichas,Geothlypis trichas,4,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Common Yellowthroat,Geothlypis,trichas,Geothlypis trichas,2,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Common Yellowthroat,Geothlypis,trichas,Geothlypis trichas,2,Sandy Creek Park,6/1/2024,8:08 AM
Common Yellowthroat,Geothlypis,trichas,Geothlypis trichas,2,Sarah P. Duke Gardens (please do not report the ducks),9/19/2023,9:05 AM
Common Yellowthroat,Geothlypis,trichas,Geothlypis trichas,3,Sarah P. Duke Gardens (please do not report the ducks),9/14/2024,9:17 AM
Common Yellowthroat,Geothlypis,trichas,Geothlypis trichas,2,Brumley Nature Preserve--North,10/5/2024,8:26 AM
Common Yellowthroat,Geothlypis,trichas,Geothlypis trichas,5,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
American Redstart,Setophaga,ruticilla,Setophaga ruticilla,1,Sarah P. Duke Gardens (please do not report the ducks),9/19/2023,9:05 AM
American Redstart,Setophaga,ruticilla,Setophaga ruticilla,3,Brumley Nature Preserve--North,10/5/2024,8:26 AM
Cape May Warbler,Setophaga,tigrina,Setophaga tigrina,1,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Northern Parula,Setophaga,americana,Setophaga americana,4,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Northern/Tropical Parula,Setophaga,americana/pitiayumi,Setophaga americana/pitiayumi,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Magnolia Warbler,Setophaga,magnolia,Setophaga magnolia,1,Sarah P. Duke Gardens (please do not report the ducks),9/19/2023,9:05 AM
Magnolia Warbler,Setophaga,magnolia,Setophaga magnolia,1,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Magnolia Warbler,Setophaga,magnolia,Setophaga magnolia,1,Brumley Nature Preserve--North,10/5/2024,8:26 AM
Yellow Warbler,Setophaga,petechia,Setophaga petechia,8,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Chestnut-sided Warbler,Setophaga,pensylvanica,Setophaga pensylvanica,1,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Palm Warbler,Setophaga,palmarum,Setophaga palmarum,1,Duke University--Reclamation Pond,10/24/2023,10:09 AM
Palm Warbler,Setophaga,palmarum,Setophaga palmarum,2,Brumley Nature Preserve--North,10/5/2024,8:26 AM
Palm Warbler,Setophaga,palmarum,Setophaga palmarum,3,Lake Maria Sanchez,1/17/2025,7:46 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,1,"138 Science Drive, Durham, North Carolina, US (36.003, -78.944)",4/24/2024,7:52 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,"138 Science Drive, Durham, North Carolina, US (36.003, -78.944)",5/11/2024,2:46 PM
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,Duke University--Chapel Woods,3/2/2024,2:59 PM
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,Duke University--Chapel Woods,4/24/2024,7:19 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,1,Duke University--Reclamation Pond,1/16/2024,9:07 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,Duke University--Reclamation Pond,2/19/2024,10:41 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,Duke University--Reclamation Pond,4/6/2024,9:19 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,Duke University--Reclamation Pond,4/24/2024,8:06 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,Duke University--Reclamation Pond,5/21/2024,8:04 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,X,French,10/24/2023,
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,Sandy Creek Park,6/1/2024,8:08 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,Sarah P. Duke Gardens (please do not report the ducks),9/19/2023,9:05 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,2,Sarah P. Duke Gardens (please do not report the ducks),10/10/2023,9:00 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,1,Sarah P. Duke Gardens (please do not report the ducks),11/7/2023,9:11 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,1,Sarah P. Duke Gardens (please do not report the ducks),3/22/2024,8:15 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,4,Sarah P. Duke Gardens (please do not report the ducks),9/3/2024,9:12 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,3,Sarah P. Duke Gardens (please do not report the ducks),9/14/2024,9:17 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,3,Weymouth Woods Sandhills Nature Preserve,4/19/2025,6:48 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,1,Brumley Nature Preserve--North,10/21/2023,8:09 AM
Pine Warbler,Setophaga,pinus,Setophaga pinus,3,Brumley Nature Preserve--North,10/5/2024,8:26 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,5,White Rock Lake & Old Fish Hatchery (PPW-W 086),12/30/2023,11:39 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,4,Beaver Marsh Preserve,11/24/2023,7:50 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,2,Duke University--Chapel Woods,4/24/2024,7:19 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,5,Duke University--East Campus,3/2/2024,4:42 PM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,20,Duke University--Reclamation Pond,10/24/2023,10:09 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,4,Duke University--Reclamation Pond,11/4/2023,10:03 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,3,Duke University--Reclamation Pond,1/16/2024,9:07 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,1,Duke University--Reclamation Pond,2/19/2024,10:41 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,2,Duke University--Reclamation Pond,2/20/2024,9:12 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,3,Pinewood/Elmwood Cemetery,2/9/2025,1:53 PM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,6,Brumley Nature Preserve--North,10/21/2023,8:09 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,2,Lake Maria Sanchez,1/17/2025,7:46 AM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,7,England Parkway Pond,12/22/2024,2:21 PM
Yellow-rumped Warbler,Setophaga,coronata,Setophaga coronata,1,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Yellow-throated Warbler,Setophaga,dominica,Setophaga dominica,1,Sandy Creek Park,6/1/2024,8:08 AM
Prairie Warbler,Setophaga,discolor,Setophaga discolor,2,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Prairie Warbler,Setophaga,discolor,Setophaga discolor,1,Weymouth Woods Sandhills Nature Preserve,4/19/2025,6:48 AM
Black-throated Green Warbler,Setophaga,virens,Setophaga virens,3,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Black-throated Green Warbler,Setophaga,virens,Setophaga virens,2,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Black-throated Green Warbler,Setophaga,virens,Setophaga virens,1,Brumley Nature Preserve--North,10/21/2023,8:09 AM
Black-throated Green Warbler,Setophaga,virens,Setophaga virens,2,Brumley Nature Preserve--North,10/5/2024,8:26 AM
new world warbler sp.,Parulidae,sp.,Parulidae sp.,1,Duke University--Reclamation Pond,10/24/2023,10:09 AM
Summer Tanager,Piranga,rubra,Piranga rubra,1,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Summer Tanager,Piranga,rubra,Piranga rubra,5,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Scarlet Tanager,Piranga,olivacea,Piranga olivacea,4,Brumley Nature Preserve--North,10/5/2024,8:26 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,X,Dallas,7/16/2023,
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,3,"138 Science Drive, Durham, North Carolina, US (36.003, -78.944)",4/24/2024,7:52 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,1,"138 Science Drive, Durham, North Carolina, US (36.003, -78.944)",5/11/2024,2:46 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,3,"2080 Duke University Road, Durham, North Carolina, US (35.999, -78.933)",3/2/2024,3:45 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Beaver Marsh Preserve,11/24/2023,7:50 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,1,Duke University--Chapel Woods,3/2/2024,2:59 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,3,Duke University--Chapel Woods,3/22/2024,7:58 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Duke University--Chapel Woods,4/24/2024,7:19 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Duke University--Reclamation Pond,11/4/2023,10:03 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,5,Duke University--Reclamation Pond,1/16/2024,9:07 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,3,Duke University--Reclamation Pond,1/22/2024,2:40 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,5,Duke University--Reclamation Pond,2/19/2024,10:41 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,7,Duke University--Reclamation Pond,2/20/2024,9:12 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Duke University--Reclamation Pond,4/6/2024,9:19 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Duke University--Reclamation Pond,5/21/2024,8:04 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,1,Durham,11/5/2023,7:02 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,4,Durham,11/5/2023,8:22 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,5,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Flat River Waterfowl Impoundment,11/12/2024,8:33 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,1,Morris Green Park,1/7/2024,1:27 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,5,Sandy Creek Park,6/1/2024,8:08 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,6,Sarah P. Duke Gardens (please do not report the ducks),9/19/2023,9:05 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,5,Sarah P. Duke Gardens (please do not report the ducks),10/10/2023,9:00 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,5,Sarah P. Duke Gardens (please do not report the ducks),10/21/2023,11:03 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Sarah P. Duke Gardens (please do not report the ducks),11/7/2023,9:11 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,5,Sarah P. Duke Gardens (please do not report the ducks),3/22/2024,8:15 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Sarah P. Duke Gardens (please do not report the ducks),9/3/2024,9:12 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,4,Sarah P. Duke Gardens (please do not report the ducks),9/14/2024,9:17 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,3,Estero Llano Grande SP WBC (LTC 054),4/27/2025,7:14 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Estero Llano Grande SP--Tropical Zone only,4/27/2025,12:52 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,1,Leitner Drive/Holiday Inn Express Wetlands,2/9/2025,11:49 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Pinewood/Elmwood Cemetery,2/9/2025,1:53 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,1,Weymouth Woods Sandhills Nature Preserve,4/19/2025,6:48 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,4,Brumley Nature Preserve--North,10/21/2023,8:09 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,11,Brumley Nature Preserve--North,10/5/2024,8:26 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,1,"16 North Trumbull Circle, Saint Charles, Missouri, US (38.814, -90.51)",12/25/2023,2:03 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,6,Confluence Point SP,12/27/2024,12:16 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Lake Maria Sanchez,1/17/2025,7:46 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,4,Little Creve Coeur Ecological Area,12/26/2023,9:37 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Falcon State Park--Butterfly Garden (Starr Co.),4/26/2025,4:39 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,15,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Starr County Park (Falcon Heights)(LTC 082),4/26/2025,2:46 PM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,281      North Camino Lagos,12/30/2023,10:12 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,2,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,1/1/2024,10:11 AM
Northern Cardinal,Cardinalis,cardinalis,Cardinalis cardinalis,8,Village Creek Drying Beds (PPW-W 083)--ACCESS CLOSED July 2025,12/30/2024,9:41 AM
Pyrrhuloxia,Cardinalis,sinuatus,Cardinalis sinuatus,3,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Rose-breasted Grosbeak,Pheucticus,ludovicianus,Pheucticus ludovicianus,1,South Padre Is.--Birding and Nature Center,4/28/2025,9:51 AM
Rose-breasted Grosbeak,Pheucticus,ludovicianus,Pheucticus ludovicianus,1,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Blue Grosbeak,Passerina,caerulea,Passerina caerulea,2,Duke University--Reclamation Pond,4/24/2024,8:06 AM
Blue Grosbeak,Passerina,caerulea,Passerina caerulea,1,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Blue Grosbeak,Passerina,caerulea,Passerina caerulea,2,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Blue Grosbeak,Passerina,caerulea,Passerina caerulea,2,Falcon State Park--Butterfly Garden (Starr Co.),4/26/2025,4:39 PM
Blue Grosbeak,Passerina,caerulea,Passerina caerulea,4,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Indigo Bunting,Passerina,cyanea,Passerina cyanea,2,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),4/28/2025,1:55 PM
Indigo Bunting,Passerina,cyanea,Passerina cyanea,8,Flat River Waterfowl Impoundment,4/28/2024,7:28 AM
Indigo Bunting,Passerina,cyanea,Passerina cyanea,1,Jordan Game Land--New Hope Creek (Durham Co. Seasonal Mudflats),7/21/2024,7:02 AM
Indigo Bunting,Passerina,cyanea,Passerina cyanea,1,Sandy Creek Park,6/1/2024,8:08 AM
Indigo Bunting,Passerina,cyanea,Passerina cyanea,9,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Varied Bunting,Passerina,versicolor,Passerina versicolor,2,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Painted Bunting,Passerina,ciris,Passerina ciris,3,Frontera Audubon Center (LTC 058),4/27/2025,2:32 PM
Painted Bunting,Passerina,ciris,Passerina ciris,1,Falcon State Park--Butterfly Garden (Starr Co.),4/26/2025,4:39 PM
Painted Bunting,Passerina,ciris,Passerina ciris,12,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Dickcissel,Spiza,americana,Spiza americana,20,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
Morelet's Seedeater,Sporophila,morelleti,Sporophila morelleti,1,Santa Margarita Ranch (LTC 079) (restricted access - guided groups only),4/26/2025,6:34 AM
